time,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,period,FlowRate,OPC-T,OPC-RH,pm1,pm2.5,pm10,Check
2020-06-07 13:43:03,6497,261,79,21,26,11,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4284,514,28.751812008850237,40.04425116350042,2.0445992946624756,2.942169666290283,5.219576835632324,47783
2020-06-07 13:43:08,470,23,6,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,246,526,29.221789883268485,38.545815213244836,2.6222925186157227,3.7698655128479004,31.380403518676758,23498
2020-06-07 13:43:13,471,12,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,538,29.221789883268485,38.41306172274358,2.283048391342163,3.0932505130767822,5.122118949890137,63466
2020-06-07 14:47:35,468,16,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14171,533,29.205767910276947,38.33066300450142,0.03925970569252968,0.0527343787252903,0.14398996531963348,65417
