timestamp,peak_wavelength,max_intensity,total_points
2025-11-25 09:48:02,627.20,2220.00,2048
2025-11-25 09:48:03,627.20,2230.00,2048
2025-11-25 09:48:04,627.20,2231.00,2048
2025-11-25 09:48:05,627.20,2233.00,2048
2025-11-25 09:48:06,627.20,2238.00,2048
2025-11-25 09:48:07,627.20,2266.00,2048
2025-11-25 09:48:08,627.20,2215.00,2048
2025-11-25 09:48:09,627.20,2200.00,2048
2025-11-25 09:48:10,627.20,2212.00,2048
2025-11-25 09:48:11,627.20,2247.00,2048
2025-11-25 09:48:13,627.20,2237.00,2048
2025-11-25 09:48:14,627.20,2215.00,2048
2025-11-25 09:48:15,627.20,2216.00,2048
2025-11-25 09:48:16,627.20,2234.00,2048
2025-11-25 09:48:17,627.20,2253.00,2048
2025-11-25 09:48:18,627.20,2235.00,2048
2025-11-25 09:48:19,627.20,2237.00,2048
2025-11-25 09:48:20,627.20,2223.00,2048
2025-11-25 09:48:21,627.20,2229.00,2048
2025-11-25 09:48:23,627.20,2233.00,2048
2025-11-25 09:48:24,627.20,2244.00,2048
2025-11-25 09:48:25,627.20,2187.00,2048
2025-11-25 09:48:26,627.20,2218.00,2048
2025-11-25 09:48:27,627.20,2220.00,2048
2025-11-25 09:48:28,627.20,2233.00,2048
2025-11-25 09:48:29,627.20,2225.00,2048
2025-11-25 09:48:30,627.20,2227.00,2048
2025-11-25 09:48:31,627.20,2224.00,2048
2025-11-25 09:48:33,627.20,2199.00,2048
2025-11-25 09:48:34,627.20,2236.00,2048
2025-11-25 09:48:35,627.20,2249.00,2048
2025-11-25 09:48:36,627.20,2218.00,2048
2025-11-25 09:48:37,627.20,2217.00,2048
2025-11-25 09:48:38,627.20,2202.00,2048
2025-11-25 09:48:39,627.20,2185.00,2048
2025-11-25 09:48:40,627.20,2211.00,2048
2025-11-25 09:48:41,627.20,2234.00,2048
2025-11-25 09:48:43,627.20,2232.00,2048
2025-11-25 09:48:44,627.20,2224.00,2048
