Log_Number,Ozone_ppb,Cell_Temperature_K,Cell_Pressure_torr,Photodiode_Voltage_V,Power_Supply_V,Latitude,Longitude,Altitude_m,GPS_Quality,Date,Time,Timestamp
,32.3,310.9,743.0,1.4550,12.2,0000.00000,00000.00000,0.0,0,26/11/25,15:34:49,2025-11-26 14:43:23
,30.6,310.9,744.6,1.4550,12.2,0000.00000,00000.00000,0.0,0,26/11/25,15:34:59,2025-11-26 14:43:33
,29.1,310.9,744.2,1.4550,12.2,0000.00000,00000.00000,0.0,0,26/11/25,15:35:09,2025-11-26 14:43:43
