timestamp,peak_wavelength,max_intensity,total_points,status
2025-11-27 11:03:43.906153,627.2004,2097.00,2048,success
2025-11-27 11:03:44.514315,627.2004,2130.00,2048,success
2025-11-27 11:03:45.123181,627.2004,2098.00,2048,success
2025-11-27 11:03:45.732589,627.2004,2121.00,2048,success
2025-11-27 11:03:46.342018,627.2004,2110.00,2048,success
2025-11-27 11:03:46.951806,627.2004,2120.00,2048,success
2025-11-27 11:03:47.560543,627.2004,2132.00,2048,success
2025-11-27 11:03:48.169400,627.2004,2138.00,2048,success
2025-11-27 11:03:48.778532,627.2004,2134.00,2048,success
2025-11-27 11:03:49.387543,627.2004,2101.00,2048,success
2025-11-27 11:03:49.996484,627.2004,2095.00,2048,success
2025-11-27 11:03:50.605017,627.2004,2122.00,2048,success
2025-11-27 11:03:51.213595,627.2004,2105.00,2048,success
2025-11-27 11:03:51.822462,627.2004,2115.00,2048,success
2025-11-27 11:03:52.431885,627.2004,2077.00,2048,success
2025-11-27 11:03:53.041036,627.2004,2125.00,2048,success
2025-11-27 11:03:53.649296,627.2004,2129.00,2048,success
2025-11-27 11:03:54.257807,627.2004,2099.00,2048,success
2025-11-27 11:03:54.866057,627.2004,2140.00,2048,success
2025-11-27 11:03:55.474318,627.2004,2148.00,2048,success
2025-11-27 11:03:56.083129,627.2004,2105.00,2048,success
2025-11-27 11:03:56.691836,627.2004,2132.00,2048,success
2025-11-27 11:03:57.300702,627.2004,2147.00,2048,success
2025-11-27 11:03:57.909565,627.2004,2102.00,2048,success
2025-11-27 11:03:58.518687,627.2004,2095.00,2048,success
2025-11-27 11:03:59.128166,627.2004,2133.00,2048,success
2025-11-27 11:03:59.738296,627.2004,2107.00,2048,success
2025-11-27 11:04:00.347185,627.2004,2105.00,2048,success
2025-11-27 11:04:00.955767,627.2004,2117.00,2048,success
2025-11-27 11:04:01.563916,627.2004,2122.00,2048,success
2025-11-27 11:04:02.172128,627.2004,2104.00,2048,success
